"","x","y","z"
"158",305.5,305.5,1.64838111400604
"159",405.5,305.5,1.6113588809967
"160",505.5,305.5,1.69482624530792
"161",605.5,305.5,1.75525462627411
"162",705.5,305.5,1.78345036506653
"163",805.5,305.5,1.76334357261658
"164",905.5,305.5,1.77435839176178
"165",1005.5,305.5,1.67930269241333
"166",1105.5,305.5,1.66902470588684
"167",1205.5,305.5,1.65997564792633
"168",1305.5,305.5,1.63965320587158
"169",5.5,205.5,1.59031760692596
"170",105.5,205.5,1.62718033790588
"171",205.5,205.5,1.64858138561249
"172",305.5,205.5,1.6217600107193
"173",405.5,205.5,1.68769443035126
"174",505.5,205.5,1.7349157333374
"175",605.5,205.5,1.74299776554108
"176",705.5,205.5,1.82082056999207
"177",805.5,205.5,1.8073056936264
"178",905.5,205.5,1.75751078128815
"179",1005.5,205.5,1.64999544620514
"180",1105.5,205.5,1.60850095748901
"181",1205.5,205.5,1.62558281421661
"182",1305.5,205.5,1.61847519874573
"183",5.5,105.5,1.56613206863403
"184",105.5,105.5,1.5725222826004
"185",205.5,105.5,1.66167104244232
"186",305.5,105.5,1.66349518299103
"187",405.5,105.5,1.615762591362
"188",505.5,105.5,1.70924043655396
"189",605.5,105.5,1.69936335086823
"190",705.5,105.5,1.79193508625031
"191",805.5,105.5,1.76890969276428
"192",905.5,105.5,1.76954281330109
"193",1005.5,105.5,1.63459932804108
"194",1105.5,105.5,1.62694096565247
"195",1205.5,105.5,1.62967813014984
"196",1305.5,105.5,1.6285582780838
"197",5.5,5.5,1.60192012786865
"198",105.5,5.5,1.59104418754578
"199",205.5,5.5,1.63652610778809
"200",305.5,5.5,1.68091595172882
"201",405.5,5.5,1.68873000144958
"202",505.5,5.5,1.71966540813446
"203",605.5,5.5,1.74945116043091
"204",705.5,5.5,1.79670906066895
"205",805.5,5.5,1.75564455986023
"206",905.5,5.5,1.76263785362244
"207",1005.5,5.5,1.70989799499512
"208",1105.5,5.5,1.69368469715118
"209",1205.5,5.5,1.59879457950592
"210",1305.5,5.5,1.6018271446228
